Topic,Header,News,Source Link
Middle East Mergers & Acquisitions,MENA M&A reaches $46.7bn in H1 as Q2 deal value doubles,"The Middle East and North Africa region completed 390 mergers and acquisitions worth $46.7 billion in the first half of 2026, with deal value in the second quarter more than doubling year-on-year despite geopolitical tensions. ([arabnews.com](https://www.arabnews.com/node/2654098/business-economy))",https://www.arabnews.com/node/2654098/business-economy
Middle East Mergers & Acquisitions,Saudi Arabia M&A activity rises to 24 deals in Q1 worth $689m,"Saudi Arabia recorded 24 mergers and acquisitions totaling $689 million in the first quarter of 2026, a 4% annual increase driven by resilient dealmaking in sectors highlighted in an Ansarada Middle East M&A market analysis. ([arabnews.com](https://www.arabnews.com/node/2645765/business-economy))",https://www.arabnews.com/node/2645765/business-economy
Middle East Mergers & Acquisitions,Saudi Arabia leads GCC dealmaking as M&A strengthens,"A report finds Saudi Arabia led Gulf Cooperation Council dealmaking in 2025 as Middle East mergers and acquisitions strengthened, with strategic investors responsible for the majority of insured transactions across the region. ([arabnews.com](https://www.arabnews.com/node/2642399/business-economy))",https://www.arabnews.com/node/2642399/business-economy
Middle East Mergers & Acquisitions,MENA mergers and acquisitions activity surges in H1 with $59bn in deals: EY,"Middle East and North Africa M&A rose 19% in the first half of 2025 to $58.7 billion, as the number of transactions jumped 31% and chemicals and technology sectors dominated cross-border deal value. ([arabnews.com](https://www.arabnews.com/node/2612297/business-economy))",https://www.arabnews.com/node/2612297/business-economy
Middle East Mergers & Acquisitions,Middle East M&A value surges 52% to reach $29bn in 2024: Bain & Co.,"Deal value across the Middle East climbed 52% in 2024 to $29 billion, led by Saudi Arabia and the UAE, with sovereign wealth funds and cross-border transactions playing a key role in supporting activity. ([arabnews.com](https://www.arabnews.com/node/2589082/business-economy))",https://www.arabnews.com/node/2589082/business-economy
Sovereign Wealth & Government Technology Investment,Middle East sovereign wealth funds set for transformative growth amid global shifts: Bain & Co.,"Bain & Co. highlights how Middle Eastern sovereign funds are rapidly expanding and reshaping their portfolios with a strong tilt toward technology, infrastructure and other high-growth sectors, emphasizing the strategic use of state capital in tech-driven global shifts. ([arabnews.com](https://www.arabnews.com/node/2648134/business-economy))",https://www.arabnews.com/node/2648134/business-economy
Sovereign Wealth & Government Technology Investment,Public Investment Fund revenue rises 9% to $120bn as 2025 profit more than doubles,"Arab News reports that Saudi Arabia’s PIF saw revenues and profits surge in 2025, driven in part by returns from technology and other strategic investments that underpin the Kingdom’s diversification and tech-industrial ambitions. ([arabnews.com](https://www.arabnews.com/node/2654968/business-economy))",https://www.arabnews.com/node/2654968/business-economy
Sovereign Wealth & Government Technology Investment,"Bahrain’s sovereign fund, SandboxAQ sign deal to speed up drug discovery with AI","Bahrain’s Mumtalakat sovereign wealth fund signs a major partnership with US firm SandboxAQ to deploy artificial intelligence and quantum technologies for faster drug discovery, creating up to $1 billion in biotech assets and underscoring government-backed investment in deep tech. ([arabnews.com](https://www.arabnews.com/node/2620432/business-economy))",https://www.arabnews.com/node/2620432/business-economy
Sovereign Wealth & Government Technology Investment,UAE wealth funds bet big on fintech amid global tech shifts,"This Arab News analysis details how UAE sovereign wealth funds such as ADQ, Mubadala, ADIA and Lunate are intensifying investments in global fintech, using state capital as a tool of “financial diplomacy” while helping shape regulatory and ecosystem development. ([arabnews.com](https://www.arabnews.com/node/2614786/business-economy))",https://www.arabnews.com/node/2614786/business-economy
Sovereign Wealth & Government Technology Investment,PIF’s HUMAIN to launch $10bn AI fund in global tech push,"Saudi Arabia’s PIF-backed company HUMAIN plans a $10 billion artificial intelligence fund, reflecting how sovereign wealth capital is being mobilized to support large-scale AI and technology ventures worldwide, with US tech firms increasingly courting Gulf investors. ([arabnews.com](https://www.arabnews.com/node/2602454/business-economy))",https://www.arabnews.com/node/2602454/business-economy
